corp_code,corp_name_kr,corp_name_en,stock_code,year,rcept_date,stock_price,shares_outstanding,scale
00126566,한화에어로스페이스,"HANWHA AEROSPACE CO., LTD.",012450,2024,20250317,753000.0,45581161.0,large
01205851,HD현대일렉트릭,"HD HYUNDAI ELECTRIC CO.,LTD",267260,2023,20240318,154600.0,36047135.0,large
01205851,HD현대일렉트릭,"HD HYUNDAI ELECTRIC CO.,LTD",267260,2024,20250320,350500.0,36047135.0,large
00401731,LG전자,LG ELECTRONICS INC.,066570,2023,20240318,96100.0,163647814.0,large
00401731,LG전자,LG ELECTRONICS INC.,066570,2024,20250317,82100.0,163647814.0,large
00244455,케이티앤지,KT&G Corporation,033780,2023,20240320,91300.0,130322497.0,large
00244455,케이티앤지,KT&G Corporation,033780,2024,20250318,96800.0,122062497.0,large
00159193,한국전력공사,KOREA ELECTRIC POWER CORPORATION,015760,2023,20240329,22000.0,641964077.0,large
00159193,한국전력공사,KOREA ELECTRIC POWER CORPORATION,015760,2024,20250318,21750.0,641964077.0,large
00159023,SK텔레콤,"SK TELECOM CO.,LTD",017670,2023,20240318,53200.0,214790053.0,large
00159023,SK텔레콤,"SK TELECOM CO.,LTD",017670,2024,20250317,55800.0,214790053.0,large
00111704,한화오션,"Hanwha Ocean Co., Ltd.",042660,2023,20240328,27400.0,306358899.0,large
00111704,한화오션,"Hanwha Ocean Co., Ltd.",042660,2024,20250314,74300.0,306413394.0,large
00149646,기업은행,INDUSTRIAL BANK OF KOREA,024110,2023,20240430,13950.0,797425869.0,large
00149646,기업은행,INDUSTRIAL BANK OF KOREA,024110,2024,20250318,15800.0,797425869.0,large
01350869,우리금융지주,Woori Financial Group Inc.,316140,2023,20240314,15160.0,751949461.0,large
01350869,우리금융지주,Woori Financial Group Inc.,316140,2024,20250318,16540.0,742591501.0,large
00120021,LG,LG Corp.,003550,2023,20240319,89100.0,157300993.0,large
00120021,LG,LG Corp.,003550,2024,20250318,68800.0,157300993.0,large
00159616,두산에너빌리티,"DOOSAN ENERBILITY CO., LTD.",034020,2023,20240327,17480.0,640561146.0,large
00159616,두산에너빌리티,"DOOSAN ENERBILITY CO., LTD.",034020,2024,20250320,25500.0,640561146.0,large
00190321,케이티,KT CORPORATION,030200,2023,20240320,37300.0,257860760.0,large
00190321,케이티,KT CORPORATION,030200,2024,20250321,49750.0,252021685.0,large
00155276,포스코퓨처엠,"POSCO FUTURE M CO., LTD.",003670,2023,20240326,314500.0,77463220.0,large
00155276,포스코퓨처엠,"POSCO FUTURE M CO., LTD.",003670,2024,20250314,137400.0,77463220.0,large
01596425,SK스퀘어,"SK Square Co., Ltd.",402340,2023,20240419,76100.0,138981036.0,large
01596425,SK스퀘어,"SK Square Co., Ltd.",402340,2024,20250319,94700.0,133548056.0,large
00170558,코웨이,"COWAY Co., Ltd.",021240,2023,20240329,56000.0,73799619.0,mid
00170558,코웨이,"COWAY Co., Ltd.",021240,2024,20250321,87200.0,72563745.0,mid
00503668,LIG넥스원,"LIG Nex1 Co., Ltd.",079550,2023,20240320,161500.0,22000000.0,mid
00503668,LIG넥스원,"LIG Nex1 Co., Ltd.",079550,2024,20250321,269000.0,22000000.0,mid
00105855,엘에스일렉트릭,"LS ELECTRIC CO., LTD",010120,2023,20240326,94200.0,30000000.0,mid
00105855,엘에스일렉트릭,"LS ELECTRIC CO., LTD",010120,2024,20250317,207000.0,30000000.0,mid
00356370,LG생활건강,"LG H&H Co., Ltd.",051900,2023,20240318,355500.0,15618197.0,mid
00356370,LG생활건강,"LG H&H Co., Ltd.",051900,2024,20250317,328000.0,15618197.0,mid
00937324,한국타이어앤테크놀로지,"HANKOOK TIRE & TECHNOLOGY CO.,LTD",161390,2023,20240325,54600.0,123875069.0,mid
00937324,한국타이어앤테크놀로지,"HANKOOK TIRE & TECHNOLOGY CO.,LTD",161390,2024,20250318,40300.0,123875069.0,mid
00111722,미래에셋증권,"MIRAE ASSET SECURITIES CO.,LTD.",006800,2023,20240318,8080.0,595316408.0,mid
00111722,미래에셋증권,"MIRAE ASSET SECURITIES CO.,LTD.",006800,2024,20250319,9700.0,570316408.0,mid
01311408,에코프로머티,"ECOPRO MATERIALS CO., LTD.",450080,2023,20240417,104200.0,68985218.0,mid
01311408,에코프로머티,"ECOPRO MATERIALS CO., LTD.",450080,2024,20250402,53800.0,69738568.0,mid
00126292,삼성카드,"SAMSUNG CARD CO.,LTD",029780,2023,20240312,38750.0,115858891.0,mid
00126292,삼성카드,"SAMSUNG CARD CO.,LTD",029780,2024,20250312,42750.0,115858891.0,mid
00120182,NH투자증권,"NH INVESTMENT & SECURITIES CO.,LTD.",005940,2023,20240315,12890.0,331665921.0,mid
00120182,NH투자증권,"NH INVESTMENT & SECURITIES CO.,LTD.",005940,2024,20250313,14730.0,327492299.0,mid
00105873,LG디스플레이,"LG Display Co., Ltd.",034220,2023,20240314,11550.0,357815700.0,mid
00105873,LG디스플레이,"LG Display Co., Ltd.",034220,2024,20250312,9130.0,500000000.0,mid
00231363,LG유플러스,LG Uplus Corp,032640,2023,20240313,10040.0,436611361.0,mid
00231363,LG유플러스,LG Uplus Corp,032640,2024,20250317,10900.0,436611361.0,mid
00904672,넷마블,Netmarble Corporation,251270,2023,20240320,57300.0,85953502.0,mid
00904672,넷마블,Netmarble Corporation,251270,2024,20250321,40900.0,85953502.0,mid
00339391,한화시스템,"HANWHA SYSTEMS Co., Ltd.",272210,2023,20240328,17210.0,188919389.0,mid
00339391,한화시스템,"HANWHA SYSTEMS Co., Ltd.",272210,2024,20250314,35050.0,188919389.0,mid
00117212,두산,"DOOSAN CO.,LTD",000150,2023,20240320,145800.0,16523835.0,mid
00117212,두산,"DOOSAN CO.,LTD",000150,2024,20250321,318000.0,16523835.0,mid
01032486,두산밥캣,Doosan Bobcat Inc.,241560,2023,20240329,53300.0,100249166.0,mid
01032486,두산밥캣,Doosan Bobcat Inc.,241560,2024,20250318,50100.0,95856065.0,mid
01238169,오리온,ORION CORP.,271560,2023,20240313,90600.0,39536132.0,mid
01238169,오리온,ORION CORP.,271560,2024,20250318,112800.0,39536132.0,mid
00261443,엔씨소프트,NCsoft Corporation,036570,2023,20240322,191400.0,21954022.0,mid
00261443,엔씨소프트,NCsoft Corporation,036570,2024,20250328,159100.0,21954022.0,mid
00139889,SKC,SKC LTD,011790,2023,20240409,135500.0,37868298.0,mid
00139889,SKC,SKC LTD,011790,2024,20250318,129200.0,37868298.0,mid
00432102,한국금융지주,"Korea Investment Holdings Co., Ltd",071050,2023,20240321,72800.0,55725992.0,mid
00432102,한국금융지주,"Korea Investment Holdings Co., Ltd",071050,2024,20250320,76600.0,55725992.0,mid
01319899,SK바이오사이언스,"SK Bioscience Co.,Ltd",302440,2023,20240315,60500.0,76827750.0,mid
01319899,SK바이오사이언스,"SK Bioscience Co.,Ltd",302440,2024,20250317,42450.0,78347293.0,mid
00104856,삼성증권,"SAMSUNG SECURITIES CO.,LTD",016360,2023,20240313,40850.0,89300000.0,mid
00104856,삼성증권,"SAMSUNG SECURITIES CO.,LTD",016360,2024,20250306,45900.0,89300000.0,mid
00635134,CJ제일제당,CJ CHEILJEDANG CORP.,097950,2023,20240319,292000.0,15054186.0,mid
00635134,CJ제일제당,CJ CHEILJEDANG CORP.,097950,2024,20250321,268500.0,15054186.0,mid
00105961,LG이노텍,"LG INNOTEK CO., LTD.",011070,2023,20240313,194900.0,23667107.0,mid
00105961,LG이노텍,"LG INNOTEK CO., LTD.",011070,2024,20250318,158000.0,23667107.0,mid
01316245,효성중공업,Hyosung Heavy Industries Corporation,298040,2023,20240315,229500.0,9324548.0,mid
01316245,효성중공업,Hyosung Heavy Industries Corporation,298040,2024,20250312,426000.0,9324548.0,mid
00500254,GS,GS Holdings,078930,2023,20240320,50900.0,92915378.0,mid
00500254,GS,GS Holdings,078930,2024,20250318,37150.0,92915378.0,mid
00828497,한미약품,"Hanmi Pharm. Co., Ltd.",128940,2023,20240319,326000.0,12810991.0,mid
00828497,한미약품,"Hanmi Pharm. Co., Ltd.",128940,2024,20250318,245500.0,12810991.0,mid
01244601,카카오페이,kakaopay Corp.,377300,2023,20240418,33750.0,134470018.0,mid
01244601,카카오페이,kakaopay Corp.,377300,2024,20250313,30600.0,134646864.0,mid
00362441,현대오토에버,HYUNDAI AUTOEVER CORPORATION.,307950,2023,20240329,144000.0,27423982.0,mid
00362441,현대오토에버,HYUNDAI AUTOEVER CORPORATION.,307950,2024,20250317,134200.0,27423982.0,mid
00255619,강원랜드,"Kangwon Land, Inc.",035250,2023,20240320,16710.0,213940500.0,mid
00255619,강원랜드,"Kangwon Land, Inc.",035250,2024,20250318,16930.0,213940500.0,mid
01105153,두산로보틱스,Doosan Robotics Inc.,454910,2023,20240320,93500.0,64819980.0,mid
01105153,두산로보틱스,Doosan Robotics Inc.,454910,2024,20250321,56300.0,64819980.0,mid
00146542,일정실업,"ILJEONG INDUSTRIAL CO.,LTD",008500,2023,20240321,12900.0,1200000.0,small
00146542,일정실업,"ILJEONG INDUSTRIAL CO.,LTD",008500,2024,20250321,11110.0,1200000.0,small
00860730,에이리츠,A SELF-ADMINISTERED REAL ESTATE INVESTMENT TRUST INC.,140910,2023,20240311,3130.0,4463032.0,small
00860730,에이리츠,A SELF-ADMINISTERED REAL ESTATE INVESTMENT TRUST INC.,140910,2024,20250314,3130.0,4463032.0,small
00137809,SHD,"SHIN HWA DYNAMICS CO.,LTD",001770,2023,20240320,19740.0,1214878.0,small
00137809,SHD,"SHIN HWA DYNAMICS CO.,LTD",001770,2024,20250318,14990.0,1214878.0,small
00136776,차AI헬스케어,"CHA AI Healthkare Co.,Ltd.",025620,2023,20240320,6500.0,4484846.0,small
00136776,차AI헬스케어,"CHA AI Healthkare Co.,Ltd.",025620,2024,20250319,3455.0,4484846.0,small
00159971,KC그린홀딩스,"KC Green Holdings Co.,Ltd.",009440,2023,20240319,2770.0,22434980.0,small
00159971,KC그린홀딩스,"KC Green Holdings Co.,Ltd.",009440,2024,20250320,756.0,23239141.0,small
01035289,스타에스엠리츠,STAR SM Real Estate Investment Trust Incorporated,204210,2023,20240320,10580.0,7826815.0,small
01035289,스타에스엠리츠,STAR SM Real Estate Investment Trust Incorporated,204210,2024,20250407,2035.0,7826815.0,small
00269241,주연테크,"JOOYONTECH CO.,LTD.",044380,2023,20240321,502.0,59199244.0,small
00269241,주연테크,"JOOYONTECH CO.,LTD.",044380,2024,20250320,332.0,66403852.0,small
00557933,진도,"JINDO.CO.,LTD",088790,2023,20240321,2085.0,12447744.0,small
00557933,진도,"JINDO.CO.,LTD",088790,2024,20250327,1764.0,12447744.0,small
00159564,한국주강,"HANKOOK STEEL CO.,LTD",025890,2023,20240321,2620.0,11309259.0,small
00159564,한국주강,"HANKOOK STEEL CO.,LTD",025890,2024,20250319,1758.0,11309259.0,small
00540641,동양고속,DONGYANG EXPRESS CORP.,084670,2023,20240320,11930.0,2895569.0,small
00540641,동양고속,DONGYANG EXPRESS CORP.,084670,2024,20250321,7080.0,2895569.0,small
